species,x_Ge,T_K,seed,D_eff_final,D_SiGe_analytic_cm2_s,relative_difference_pct,stop_reason,step_count,total_dopant_hops,elapsed_wallclock_sec
Boron,0.1750,1273.15,707,9.034688e-15,9.044004e-15,0.1030,converged_Deff,6350000,6350000,15.75
Boron,0.1750,1273.15,808,8.944001e-15,9.044004e-15,1.1057,converged_Deff,9100000,9100000,22.52
Boron,0.2000,1273.15,101,8.336118e-15,8.390516e-15,0.6483,converged_Deff,8450000,8450000,21.14
Boron,0.2000,1273.15,202,8.335796e-15,8.390516e-15,0.6522,converged_Deff,7800000,7800000,19.46
Boron,0.2000,1273.15,303,8.623591e-15,8.390516e-15,2.7778,converged_Deff,6900000,6900000,17.07
Boron,0.2000,1273.15,404,8.731634e-15,8.390516e-15,4.0655,converged_Deff,6650000,6650000,16.50
Boron,0.2000,1273.15,505,8.676370e-15,8.390516e-15,3.4069,converged_Deff,6000000,6000000,14.89
Boron,0.2000,1273.15,606,8.680086e-15,8.390516e-15,3.4512,converged_Deff,6950000,6950000,17.05
Boron,0.2000,1273.15,707,8.403272e-15,8.390516e-15,0.1520,converged_Deff,6350000,6350000,15.50
Boron,0.2000,1273.15,808,8.318923e-15,8.390516e-15,0.8533,converged_Deff,9100000,9100000,22.30
Boron,0.2250,1273.15,101,7.753507e-15,7.784247e-15,0.3949,converged_Deff,8450000,8450000,20.94
Boron,0.2250,1273.15,202,7.753208e-15,7.784247e-15,0.3987,converged_Deff,7800000,7800000,19.07
Boron,0.2250,1273.15,303,8.020889e-15,7.784247e-15,3.0400,converged_Deff,6900000,6900000,17.13
Boron,0.2250,1273.15,404,8.121380e-15,7.784247e-15,4.3310,converged_Deff,6650000,6650000,16.52
Boron,0.2250,1273.15,505,8.069979e-15,7.784247e-15,3.6707,converged_Deff,6000000,6000000,14.80
Boron,0.2250,1273.15,606,8.073435e-15,7.784247e-15,3.7150,converged_Deff,6950000,6950000,17.15
Boron,0.2250,1273.15,707,7.815968e-15,7.784247e-15,0.4075,converged_Deff,6350000,6350000,15.74
Boron,0.2250,1273.15,808,7.737514e-15,7.784247e-15,0.6003,converged_Deff,9100000,9100000,22.50
Boron,0.2500,1273.15,101,7.211600e-15,7.221784e-15,0.1410,converged_Deff,8450000,8450000,20.92
Boron,0.2500,1273.15,202,7.211321e-15,7.221784e-15,0.1449,converged_Deff,7800000,7800000,19.24
Boron,0.2500,1273.15,303,7.460294e-15,7.221784e-15,3.3026,converged_Deff,6900000,6900000,17.22
Boron,0.2500,1273.15,404,7.553762e-15,7.221784e-15,4.5969,converged_Deff,6650000,6650000,16.63
Boron,0.2500,1273.15,505,7.505953e-15,7.221784e-15,3.9349,converged_Deff,6000000,6000000,14.81
Boron,0.2500,1273.15,606,7.509168e-15,7.221784e-15,3.9794,converged_Deff,6950000,6950000,17.05
Boron,0.2500,1273.15,707,7.269695e-15,7.221784e-15,0.6634,converged_Deff,6350000,6350000,15.74
Boron,0.2500,1273.15,808,7.196725e-15,7.221784e-15,0.3470,converged_Deff,9100000,9100000,22.43
Boron,0.2750,1273.15,101,6.707553e-15,6.699963e-15,0.1133,converged_Deff,8450000,8450000,21.04
Boron,0.2750,1273.15,202,6.707294e-15,6.699963e-15,0.1094,converged_Deff,7800000,7800000,19.40
Boron,0.2750,1273.15,303,6.938865e-15,6.699963e-15,3.5657,converged_Deff,6900000,6900000,17.12
Boron,0.2750,1273.15,404,7.025800e-15,6.699963e-15,4.8633,converged_Deff,6650000,6650000,16.43
Boron,0.2750,1273.15,505,6.981333e-15,6.699963e-15,4.1996,converged_Deff,6000000,6000000,14.68
Boron,0.2750,1273.15,606,6.984323e-15,6.699963e-15,4.2442,converged_Deff,6950000,6950000,17.28
Boron,0.2750,1273.15,707,6.761588e-15,6.699963e-15,0.9198,converged_Deff,6350000,6350000,15.51
Boron,0.2750,1273.15,808,6.693718e-15,6.699963e-15,0.0932,converged_Deff,9100000,9100000,22.59
Boron,0.3000,1273.15,101,6.238723e-15,6.215847e-15,0.3680,converged_Deff,8450000,8450000,20.92
Boron,0.3000,1273.15,202,6.238482e-15,6.215847e-15,0.3641,converged_Deff,7800000,7800000,19.36
Boron,0.3000,1273.15,303,6.453867e-15,6.215847e-15,3.8292,converged_Deff,6900000,6900000,16.94
Boron,0.3000,1273.15,404,6.534725e-15,6.215847e-15,5.1301,converged_Deff,6650000,6650000,16.33
Boron,0.3000,1273.15,505,6.493366e-15,6.215847e-15,4.4647,converged_Deff,6000000,6000000,14.68
Boron,0.3000,1273.15,606,6.496147e-15,6.215847e-15,4.5094,converged_Deff,6950000,6950000,17.16
Boron,0.3000,1273.15,707,6.288981e-15,6.215847e-15,1.1766,converged_Deff,6350000,6350000,15.73
Boron,0.3000,1273.15,808,6.225854e-15,6.215847e-15,0.1610,converged_Deff,9100000,9100000,22.80
Boron,0.3250,1273.15,101,5.802649e-15,5.766712e-15,0.6232,converged_Deff,8450000,8450000,21.20
Boron,0.3250,1273.15,202,5.802425e-15,5.766712e-15,0.6193,converged_Deff,7800000,7800000,19.53
Boron,0.3250,1273.15,303,6.002755e-15,5.766712e-15,4.0932,converged_Deff,6900000,6900000,17.21
Boron,0.3250,1273.15,404,6.077962e-15,5.766712e-15,5.3974,converged_Deff,6650000,6650000,16.37
