species,T_K,x_Ge,n,D_eff_mean_cm2_s,D_eff_sd_cm2_s,D_eff_se_cm2_s,rel_se_pct
Phosphorus,1173.15,0.0,8,7.240222125e-16,1.5316284973511732e-17,5.4151244836778825e-18,0.7479224242278179
Phosphorus,1173.15,0.025,8,7.398292e-16,1.5650655764809715e-17,5.5333424106566404e-18,0.7479216028046257
Phosphorus,1173.15,0.05,8,7.5597965e-16,1.5992317667555256e-17,5.654138134808876e-18,0.7479220022402555
Phosphorus,1173.15,0.075,8,7.724809875e-16,1.6341394855522805e-17,5.777555558193569e-18,0.7479220397244494
Phosphorus,1173.15,0.1,8,7.893408e-16,1.6698019203914144e-17,5.903641305735443e-18,0.747920455364203
Phosphorus,1173.15,0.125,8,8.065668125e-16,1.7062464822397033e-17,6.0324922898369314e-18,0.7479222051225833
Phosphorus,1173.15,0.15,8,8.241669875e-16,1.74347666043977e-17,6.164120847187185e-18,0.7479213485467573
Phosphorus,1173.15,0.175,8,8.421494125e-16,1.781518784443987e-17,6.298620066457793e-18,0.747921921332195
Phosphorus,1173.15,0.2,8,8.605223375e-16,1.820383879695533e-17,6.436028928476938e-18,0.7479211925137199
Phosphorus,1173.15,0.225,8,8.792942e-16,1.860097482145952e-17,6.576437716467128e-18,0.7479223354898882
Phosphorus,1173.15,0.25,8,8.984736375e-16,1.9006695085825296e-17,6.7198814915660475e-18,0.7479219435156825
Phosphorus,1173.15,0.275,8,9.18069475e-16,1.9421227007342077e-17,6.86644065792745e-18,0.7479216818452056
Phosphorus,1173.15,0.3,8,9.380906875e-16,1.9844766878192866e-17,7.016184615318183e-18,0.747921785047907
Phosphorus,1173.15,0.325,8,9.585464875e-16,2.0277484218246867e-17,7.169173298062779e-18,0.7479212945384434
Phosphorus,1173.15,0.35,8,9.794462125e-16,2.071956732376685e-17,7.325473278943372e-18,0.7479199148920465
Phosphorus,1173.15,0.375,8,1.0007996e-15,2.1171298727084026e-17,7.485184448223618e-18,0.7479204076643933
Phosphorus,1173.15,0.4,8,1.0226163375e-15,2.1633045547358978e-17,7.64843660212749e-18,0.7479282622088453
Phosphorus,1273.15,0.0,8,1.24374225e-14,2.6310532512121987e-16,9.302177977975293e-17,0.7479184676708772
Phosphorus,1273.15,0.025,8,1.2689498750000001e-14,2.684397434082209e-16,9.490778145196491e-17,0.7479238015762042
Phosphorus,1273.15,0.05,8,1.294665875e-14,2.7388015796473023e-16,9.683125846465177e-17,0.7479246988312855
Phosphorus,1273.15,0.075,8,1.320899625e-14,2.794296433777459e-16,9.879329784847139e-17,0.7479243386754038
Phosphorus,1273.15,0.1,8,1.347662375e-14,2.85090787942443e-16,1.0079481470395874e-16,0.747923341734303
Phosphorus,1273.15,0.125,8,1.3749643750000001e-14,2.9086708618677636e-16,1.0283704453332076e-16,0.7479251564850236
Phosphorus,1273.15,0.15,8,1.402816625e-14,2.9675549502374145e-16,1.0491891144282916e-16,0.7479160823520262
Phosphorus,1273.15,0.175,8,1.43122975e-14,3.0276799423934226e-16,1.0704465092644422e-16,0.7479208067498893
Phosphorus,1273.15,0.2,8,1.460215375e-14,3.089014048406057e-16,1.0921313904042165e-16,0.7479248671821556
Phosphorus,1273.15,0.225,8,1.489784875e-14,3.1515616471101666e-16,1.1142453059995218e-16,0.7479236262212166
Phosphorus,1273.15,0.25,8,1.519949375e-14,3.215367572383558e-16,1.1368041072198703e-16,0.747922349203157
Phosphorus,1273.15,0.275,8,1.55072175e-14,3.280468604483207e-16,1.1598207978498229e-16,0.7479232156573691
Phosphorus,1273.15,0.3,8,1.58211375e-14,3.3468651028131703e-16,1.183295504957902e-16,0.7479206251496785
Phosphorus,1273.15,0.325,8,1.61413775e-14,3.414606574179309e-16,1.2072457318431776e-16,0.7479198921177438
Phosphorus,1273.15,0.35,8,1.646806375e-14,3.48373142188393e-16,1.23168505612339e-16,0.7479234200337546
Phosphorus,1273.15,0.375,8,1.680132625e-14,3.5542356316844954e-16,1.2566120585494793e-16,0.7479243244559216
Phosphorus,1273.15,0.4,8,1.7141296250000002e-14,3.6261307091473454e-16,1.2820308069534362e-16,0.7479194036760412
Phosphorus,1373.15,0.0,8,1.411996625e-13,2.986991860401889e-15,1.0560610999195984e-15,0.7479204137046704
Phosphorus,1373.15,0.025,8,1.43872975e-13,3.0435381068514874e-15,1.0760532170771769e-15,0.7479189313192258
Phosphorus,1373.15,0.05,8,1.46596575e-13,3.101163835792712e-15,1.0964269889297557e-15,0.7479212859712143
Phosphorus,1373.15,0.075,8,1.493714375e-13,3.1598684985918076e-15,1.1171822215060107e-15,0.7479222535473095
Phosphorus,1373.15,0.1,8,1.52198475e-13,3.219673285887427e-15,1.1383264068280865e-15,0.7479223473350087
Phosphorus,1373.15,0.125,8,1.55078675e-13,3.2806103394468722e-15,1.1598709087267924e-15,0.7479241802438615
Phosphorus,1373.15,0.15,8,1.580130125e-13,3.342674651677044e-15,1.1818139567506092e-15,0.7479219198802436
Phosphorus,1373.15,0.175,8,1.61002575e-13,3.405923138445727e-15,1.2041756736975709e-15,0.7479232389280551
Phosphorus,1373.15,0.2,8,1.640483125e-13,3.4703365186503956e-15,1.2269492426685051e-15,0.7479194537088001
Phosphorus,1373.15,0.225,8,1.6715135e-13,3.535988441723189e-15,1.25016070266986e-15,0.7479213914035753
Phosphorus,1373.15,0.25,8,1.70312675e-13,3.6028538829853856e-15,1.273801206141625e-15,0.7479192057441557
Phosphorus,1373.15,0.275,8,1.73533425e-13,3.671004576309553e-15,1.2978961148376668e-15,0.7479228366740683
Phosphorus,1373.15,0.3,8,1.768147125e-13,3.7404287448814935e-15,1.3224412650253954e-15,0.7479249019084854
Phosphorus,1373.15,0.325,8,1.80157675e-13,3.8111351765020676e-15,1.3474397636616007e-15,0.7479224871555434
Phosphorus,1373.15,0.35,8,1.83563425e-13,3.883164223652808e-15,1.3729058775029476e-15,0.7479190789248716
Phosphorus,1373.15,0.375,8,1.8703318749999998e-13,3.956582753711122e-15,1.398863247737439e-15,0.7479224764521747
Phosphorus,1373.15,0.4,8,1.905681125e-13,4.031349174173232e-15,1.4252971691943401e-15,0.7479200746107721
